number of goals,team,month,day,hour,day of week,possession,possession in contest,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied
0,WALES,11,25,11,4,0.39,0.1,7.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,2.0,7.0,2.0,5.0,2.0,7.0,436.0,100.0,172.0,164.0,9.0,174.0,103.0,17.0,8.0,2.0,0.0,10.0,1.0,409.0,321.0,15.0,6.0,8.0,3.0,15.0,1.0,7.0,0.0,72.0,292.0
2,IRAN,11,25,11,4,0.19,0.09,8.0,6.0,2.0,0.0,1.0,3.0,4.0,6.0,2.0,3.0,0.0,3.0,1.0,0.0,212.0,53.0,86.0,73.0,4.0,101.0,45.0,7.0,4.0,2.0,0.0,14.0,2.0,224.0,154.0,8.0,1.0,3.0,0.0,10.0,1.0,13.0,0.0,72.0,416.0
1,QATAR,11,25,14,4,0.42,0.08,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,15.0,0.0,3.0,1.0,9.0,520.0,116.0,235.0,169.0,5.0,136.0,0.0,9.0,0.0,4.0,0.0,15.0,3.0,450.0,381.0,9.0,4.0,9.0,1.0,19.0,0.0,6.0,0.0,52.0,256.0
3,SENEGAL,11,25,14,4,0.44,0.11,14.0,2.0,0.0,0.0,0.0,3.0,8.0,0.0,7.0,12.0,4.0,2.0,4.0,13.0,502.0,123.0,230.0,149.0,15.0,151.0,0.0,22.0,0.0,2.0,0.0,13.0,2.0,383.0,313.0,19.0,7.0,9.0,6.0,14.0,0.0,9.0,0.0,63.0,263.0
1,NETHERLANDS,11,25,17,4,0.45,0.11,9.0,0.0,2.0,0.0,1.0,3.0,5.0,5.0,4.0,11.0,2.0,2.0,7.0,20.0,506.0,117.0,191.0,198.0,14.0,162.0,96.0,22.0,10.0,1.0,0.0,13.0,1.0,438.0,374.0,25.0,8.0,6.0,7.0,14.0,0.0,15.0,0.0,73.0,251.0
1,ECUADOR,11,25,17,4,0.5,0.08,6.0,0.0,2.0,0.0,1.0,3.0,3.0,4.0,2.0,8.0,7.0,6.0,4.0,6.0,532.0,127.0,187.0,218.0,8.0,155.0,99.0,13.0,7.0,2.0,0.0,15.0,4.0,480.0,409.0,14.0,4.0,9.0,3.0,17.0,1.0,5.0,0.0,72.0,279.0
0,UNITED STATES,11,25,20,4,0.51,0.1,6.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,2.0,14.0,5.0,4.0,4.0,11.0,725.0,149.0,336.0,240.0,12.0,199.0,0.0,23.0,0.0,4.0,0.0,15.0,1.0,569.0,509.0,31.0,4.0,5.0,5.0,11.0,0.0,7.0,0.0,81.0,242.0
0,ENGLAND,11,25,20,4,0.72,0.09,13.0,2.0,6.0,0.0,6.0,7.0,3.0,0.0,3.0,11.0,5.0,2.0,3.0,11.0,1061.0,207.0,386.0,468.0,16.0,238.0,0.0,25.0,0.0,0.0,0.0,9.0,2.0,809.0,730.0,23.0,7.0,12.0,8.0,16.0,0.0,8.0,0.0,63.0,139.0
0,TUNISIA,11,26,11,5,0.33,0.12,11.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,5.0,9.0,2.0,2.0,3.0,6.0,477.0,89.0,204.0,184.0,7.0,174.0,85.0,17.0,6.0,1.0,0.0,10.0,1.0,387.0,302.0,13.0,3.0,1.0,9.0,10.0,0.0,11.0,0.0,73.0,287.0
1,AUSTRALIA,11,26,11,5,0.35,0.09,4.0,4.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,11.0,2.0,5.0,1.0,9.0,521.0,95.0,208.0,218.0,7.0,133.0,84.0,15.0,7.0,3.0,0.0,11.0,0.0,466.0,399.0,9.0,2.0,5.0,1.0,5.0,0.0,22.0,0.0,56.0,316.0
